Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
P29590	PML	0.5207	6e-4	0.7762	0	Up/Up
Q99996	AKAP9	-0.3743	6e-4	-0.6018	1e-4	Down/Down
P08237	PFKM	-0.355	6e-4	-1.0586	0	Down/Down
P08582	MELTF	1.19	6e-4	0.4287	0	Up/Up
Q9NQW7	XPNPEP1	0.3148	6e-4	0.848	0	Up/Up
O00625	PIR	-1.0302	6e-4	-1.0963	0	Down/Down
P15144	ANPEP	1.5701	6e-4	-1.4596	0	Down transcriptome/Up proteome
Q86X02	CDR2L	-3.5484	6e-4	-0.6276	0	Down/Down
Q9H583	HEATR1	-0.402	6e-4	0.377	0	Up transcriptome/Down proteome
P54652	HSPA2	-0.5567	6e-4	-0.9548	0	Down/Down
Q9Y5U2	TSSC4	-0.5915	7e-4	0.7806	0	Up transcriptome/Down proteome
P09496	CLTA	0.2651	7e-4	0.5205	0	Up/Up
Q15629	TRAM1	0.3305	7e-4	-0.328	0.0024	Down transcriptome/Up proteome
O95486	SEC24A	-0.7014	7e-4	-0.6147	0	Down/Down
Q15907	RAB11B	0.2343	7e-4	0.6041	0	Up/Up
Q9H2U2	PPA2	0.3414	7e-4	-0.6412	0	Down transcriptome/Up proteome
A6NIH7	UNC119B	-0.8988	7e-4	-0.485	0	Down/Down
P11171	EPB41	-0.8655	7e-4	-0.8748	2e-4	Down/Down
P07237	P4HB	0.3006	7e-4	0.2618	0	Up/Up
Q70CQ3	USP30	-1.5798	7e-4	-1.0674	0	Down/Down
Q8NHU6	TDRD7	-1.1522	7e-4	-0.7435	0	Down/Down
Q9NQZ5	STARD7	-0.5925	7e-4	0.2517	2e-4	Up transcriptome/Down proteome
O00622	CCN1	-0.6924	7e-4	0.612	0	Up transcriptome/Down proteome
Q9NV31	IMP3	-0.8155	7e-4	0.3667	0.0074	Up transcriptome/Down proteome
P28289	TMOD1	1.3085	7e-4	1.393	0	Up/Up
P13807	GYS1	0.9756	7e-4	0.5603	0	Up/Up
Q9C099	LRRCC1	-1.2167	7e-4	-1.256	0	Down/Down
Q9BZE1	MRPL37	0.4625	7e-4	0.2175	0	Up/Up
O00762	UBE2C	-0.4967	7e-4	0.5132	0	Up transcriptome/Down proteome
P19838	NFKB1	0.53	7e-4	1.233	0	Up/Up
O95167	NDUFA3	-0.8115	7e-4	-0.9925	0	Down/Down
P13639	EEF2	0.2656	7e-4	0.5911	0	Up/Up
Q7L0Y3	TRMT10C	0.2565	7e-4	-0.3391	5e-4	Down transcriptome/Up proteome
Q9Y2K7	KDM2A	-0.6785	7e-4	0.5054	0	Up transcriptome/Down proteome
Q14573	ITPR3	0.9624	8e-4	1.4634	0	Up/Up
P53007	SLC25A1	0.3376	8e-4	0.2776	0	Up/Up
Q92734	TFG	0.2542	8e-4	0.1839	0.0044	Up/Up
Q9BTT6	LRRC1	0.4709	8e-4	0.3777	4e-4	Up/Up
Q15678	PTPN14	-1.0362	8e-4	0.381	0.0439	Up transcriptome/Down proteome
P61225	RAP2B	0.6254	8e-4	1.1188	0	Up/Up
Q9Y4D7	PLXND1	-0.8199	8e-4	0.9083	0	Up transcriptome/Down proteome
Q8TCJ2	STT3B	-0.3518	8e-4	-0.2202	0.021	Down/Down
Q92626	PXDN	0.5204	8e-4	0.7162	0	Up/Up
O94832	MYO1D	0.829	8e-4	0.5212	0.0069	Up/Up
P09669	COX6C	-0.4738	8e-4	-0.6959	0	Down/Down
Q96AG3	SLC25A46	-0.5876	8e-4	-0.467	1e-4	Down/Down
Q9H2H9	SLC38A1	-1.7636	8e-4	-0.8767	0	Down/Down
O00244	ATOX1	-0.9962	8e-4	-0.3839	0.0076	Down/Down
O60563	CCNT1	1.1471	8e-4	0.4475	3e-4	Up/Up
Q8WVX9	FAR1	-1.9418	8e-4	0.4053	0.0053	Up transcriptome/Down proteome
Q86VI3	IQGAP3	-0.6397	8e-4	0.282	4e-4	Up transcriptome/Down proteome
Q9Y4B6	DCAF1	-0.5959	8e-4	0.3689	0	Up transcriptome/Down proteome
P25686	DNAJB2	-0.8914	8e-4	0.5742	0	Up transcriptome/Down proteome
Q9NWK9	ZNHIT6	-0.6526	8e-4	0.4266	3e-4	Up transcriptome/Down proteome
Q9UNF1	MAGED2	-0.543	8e-4	-0.8493	0	Down/Down
O15382	BCAT2	0.4446	8e-4	0.5532	0	Up/Up
Q9H0R3	TMEM222	1.6653	8e-4	0.4958	0	Up/Up
P17655	CAPN2	0.3015	8e-4	1.232	0	Up/Up
Q9BVK2	ALG8	-0.3938	8e-4	-0.5473	0	Down/Down
O14908	GIPC1	0.403	9e-4	0.8539	0	Up/Up
O14907	TAX1BP3	0.9854	9e-4	1.1987	0	Up/Up
O60635	TSPAN1	0.9915	9e-4	0.7883	0	Up/Up
Q8NFW8	CMAS	0.6228	9e-4	0.3456	0.0048	Up/Up
Q14146	URB2	-0.8796	9e-4	0.9041	0	Up transcriptome/Down proteome
P41227	NAA10	-0.3227	9e-4	0.5265	0	Up transcriptome/Down proteome
Q15527	SURF2	-0.7036	9e-4	0.5123	0	Up transcriptome/Down proteome
Q8WUM0	NUP133	-0.385	9e-4	-0.4501	0.0142	Down/Down
Q13242	SRSF9	-0.6207	9e-4	-0.2471	0.0015	Down/Down
Q08209	PPP3CA	0.3566	9e-4	0.3533	0.0059	Up/Up
Q13489	BIRC3	-1.1111	9e-4	2.9356	0	Up transcriptome/Down proteome
Q96PQ0	SORCS2	2.0031	9e-4	0.2815	0.036	Up/Up
Q6IPR1	ETFRF1	0.7498	9e-4	-0.8033	0	Down transcriptome/Up proteome
P35080	PFN2	0.2636	9e-4	-0.3671	0	Down transcriptome/Up proteome
Q16864	ATP6V1F	0.6016	9e-4	0.7943	0	Up/Up
P14406	COX7A2	-0.6048	9e-4	-0.6129	0	Down/Down
Q9BVJ6	UTP14A	-0.5691	9e-4	0.5187	0	Up transcriptome/Down proteome
Q8WWY3	PRPF31	-0.3835	9e-4	-0.3874	0	Down/Down
Q9UHG3	PCYOX1	-0.2882	9e-4	-0.9281	0	Down/Down
P31431	SDC4	1.3623	9e-4	1.7392	0	Up/Up
Q86XI2	NCAPG2	-0.7167	9e-4	0.2983	0.0013	Up transcriptome/Down proteome
Q86SJ2	AMIGO2	0.9255	0.001	1.0703	0	Up/Up
Q96PZ0	PUS7	-1.1254	0.001	-0.3816	0.01	Down/Down
Q9H0S4	DDX47	0.5082	0.001	0.5327	0	Up/Up
Q6ICL3	TANGO2	0.9907	0.001	0.6034	5e-4	Up/Up
Q8N8S7	ENAH	-0.4743	0.001	-0.9774	0	Down/Down
Q9HCN8	SDF2L1	0.4746	0.001	0.8061	0	Up/Up
Q9BW19	KIFC1	-0.5713	0.001	0.3821	0	Up transcriptome/Down proteome
Q8N4J0	CARNMT1	-1.3881	0.001	-0.4902	0.037	Down/Down
Q9UIG0	BAZ1B	-0.9839	0.001	-0.2744	0.0015	Down/Down
Q12840	KIF5A	-0.8996	0.001	-1.7537	0	Down/Down
P62081	RPS7	-0.4738	0.0011	1.7491	0	Up transcriptome/Down proteome
Q53H96	PYCR3	0.3935	0.0011	0.9578	0	Up/Up
Q4VC31	MIX23	0.4464	0.0011	0.2938	0.0113	Up/Up
Q92870	APBB2	1.0366	0.0011	-0.608	0	Down transcriptome/Up proteome
Q13671	RIN1	1.0601	0.0011	1.9899	0	Up/Up
P42167	TMPO	-0.3661	0.0011	-0.797	0	Down/Down
P16885	PLCG2	0.4659	0.0011	0.3561	0.004	Up/Up
Q16543	CDC37	0.3609	0.0011	0.9415	0	Up/Up
Q5T7N3	KANK4	0.8827	0.0011	-1.4582	0	Down transcriptome/Up proteome
Q14BN4	SLMAP	-0.3631	0.0011	0.7454	0	Up transcriptome/Down proteome
O00291	HIP1	-0.8412	0.0011	-0.6645	0	Down/Down
Q8WZA9	IRGQ	-0.3109	0.0011	0.7311	0.0063	Up transcriptome/Down proteome
P53365	ARFIP2	0.4462	0.0011	0.5956	0	Up/Up
Q12797	ASPH	0.2424	0.0011	0.7202	0	Up/Up
Q14653	IRF3	0.398	0.0011	0.3481	0.005	Up/Up
P52306	RAP1GDS1	0.3014	0.0011	0.3276	0.0018	Up/Up
Q15464	SHB	0.8868	0.0012	1.4068	0	Up/Up
Q9Y448	KNSTRN	-0.8681	0.0012	0.2253	0.0043	Up transcriptome/Down proteome
P29401	TKT	0.2989	0.0012	0.233	0.0034	Up/Up
Q99653	CHP1	0.5662	0.0012	0.2121	0.0171	Up/Up
Q9Y5M8	SRPRB	-0.4583	0.0012	0.7004	0	Up transcriptome/Down proteome
O94927	HAUS5	-0.6808	0.0012	0.6656	0	Up transcriptome/Down proteome
Q9BSH4	TACO1	0.5631	0.0012	0.3961	1e-4	Up/Up
Q8IUX7	AEBP1	-0.8025	0.0012	0.6223	0	Up transcriptome/Down proteome
Q9Y6X9	MORC2	-0.4536	0.0012	0.422	0	Up transcriptome/Down proteome
Q70EL4	USP43	-0.5076	0.0012	1.4998	0	Up transcriptome/Down proteome
Q86U44	METTL3	0.3045	0.0012	0.2425	0.0012	Up/Up
Q16254	E2F4	2.5957	0.0012	0.9668	0	Up/Up
Q9Y6Y8	SEC23IP	0.4022	0.0012	0.3155	0.0151	Up/Up
O43314	PPIP5K2	-0.5372	0.0012	-1.2037	0	Down/Down
Q6PGP7	TTC37	-0.4927	0.0012	-0.7531	4e-4	Down/Down
P51570	GALK1	-0.4237	0.0012	0.4315	0.0079	Up transcriptome/Down proteome
Q86XL3	ANKLE2	-1.8354	0.0012	0.7258	0	Up transcriptome/Down proteome
P29475	NOS1	-0.4108	0.0012	0.2302	0.0408	Up transcriptome/Down proteome
Q96LR5	UBE2E2	0.3843	0.0012	0.3185	0	Up/Up
P62304	SNRPE	-0.3556	0.0012	-0.6403	0	Down/Down
Q8TAT6	NPLOC4	0.2594	0.0012	0.6221	0	Up/Up
Q14692	BMS1	-0.6006	0.0012	0.3284	0	Up transcriptome/Down proteome
Q13200	PSMD2	0.2197	0.0013	0.1648	0.0181	Up/Up
P21964	COMT	0.4159	0.0013	0.3453	0	Up/Up
Q96SI1	KCTD15	-0.9414	0.0013	0.4798	0	Up transcriptome/Down proteome
Q7Z333	SETX	-0.6998	0.0013	-0.351	0	Down/Down
P48634	PRRC2A	0.3557	0.0013	0.5362	0	Up/Up
O75691	UTP20	-0.5262	0.0013	-0.3295	0.0078	Down/Down
Q00536	CDK16	0.6195	0.0013	0.3235	0	Up/Up
Q6BCY4	CYB5R2	0.9062	0.0013	-1.3851	0	Down transcriptome/Up proteome
P16383	GCFC2	-0.5816	0.0013	-0.5923	1e-4	Down/Down
Q9BXF6	RAB11FIP5	1.2844	0.0013	0.8695	0	Up/Up
Q9BSL1	UBAC1	-0.5975	0.0013	-0.494	0	Down/Down
P16144	ITGB4	0.863	0.0013	1.184	0	Up/Up
Q9NVN8	GNL3L	-0.348	0.0013	0.8668	0	Up transcriptome/Down proteome
P63272	SUPT4H1	-0.4214	0.0013	0.4544	0	Up transcriptome/Down proteome
P42566	EPS15	0.5278	0.0013	0.348	0.0012	Up/Up
Q05519	SRSF11	-0.2998	0.0013	-0.3433	0.0117	Down/Down
Q9H788	SH2D4A	0.4508	0.0013	0.8201	0	Up/Up
Q13907	IDI1	-1.991	0.0013	-1.0973	0	Down/Down
P16930	FAH	0.3522	0.0013	-0.6081	0	Down transcriptome/Up proteome
O75843	AP1G2	0.5951	0.0014	0.8289	0	Up/Up
Q5SY16	NOL9	-0.4447	0.0014	0.798	0	Up transcriptome/Down proteome
P08195	SLC3A2	0.3301	0.0014	0.2338	7e-4	Up/Up
Q8NDH3	NPEPL1	1.5753	0.0014	0.7336	0	Up/Up
O43929	ORC4	-0.5526	0.0014	-0.3503	0.0012	Down/Down
Q8IWA5	SLC44A2	-0.6225	0.0015	-0.5286	0	Down/Down
P40616	ARL1	-0.6719	0.0015	-0.9809	0	Down/Down
Q6P0N0	MIS18BP1	-1.2991	0.0015	-0.7345	0	Down/Down
Q9P0J1	PDP1	0.5114	0.0015	1.0637	0	Up/Up
Q13542	EIF4EBP2	-1.2538	0.0015	0.5607	0	Up transcriptome/Down proteome
Q9H4G0	EPB41L1	0.9693	0.0015	0.5374	0	Up/Up
O75096	LRP4	1.3987	0.0015	1.4337	0	Up/Up
Q5BJH2	TMEM128	-0.7698	0.0015	-0.8081	1e-4	Down/Down
P61981	YWHAG	-0.464	0.0015	0.1736	0.0151	Up transcriptome/Down proteome
Q08379	GOLGA2	-0.5543	0.0015	-0.7703	0	Down/Down
O00590	ACKR2	1.2165	0.0015	-0.7894	0	Down transcriptome/Up proteome
P01344	IGF2	-0.9815	0.0015	-1.9296	0	Down/Down
Q9ULX9	MAFF	-0.4156	0.0015	2.0373	0	Up transcriptome/Down proteome
P09493	TPM1	-0.2905	0.0015	0.3038	0	Up transcriptome/Down proteome
O95398	RAPGEF3	0.6478	0.0016	0.6435	0	Up/Up
Q14807	KIF22	-0.987	0.0016	0.3657	0.0032	Up transcriptome/Down proteome
Q96DE0	NUDT16	0.7081	0.0016	0.7013	0	Up/Up
P49915	GMPS	0.2599	0.0016	0.6484	0	Up/Up
Q9H6A0	DENND2D	0.8664	0.0016	1.0091	0	Up/Up
Q16630	CPSF6	-0.3669	0.0016	-0.2668	0.0148	Down/Down
Q9UHD9	UBQLN2	-0.2939	0.0016	0.1896	0.0268	Up transcriptome/Down proteome
O94916	NFAT5	0.8807	0.0016	1.2075	0	Up/Up
Q9H2P0	ADNP	-0.6221	0.0016	-0.3424	0.0028	Down/Down
Q8IYH5	ZZZ3	0.6835	0.0016	-0.2197	0.0074	Down transcriptome/Up proteome
Q96JM3	CHAMP1	-0.6218	0.0016	0.5935	0	Up transcriptome/Down proteome
A8MXV4	NUDT19	0.56	0.0016	0.5923	0	Up/Up
P40763	STAT3	0.3249	0.0016	0.3153	0	Up/Up
Q9Y2M2	SSUH2	-0.5693	0.0017	-2.6448	0	Down/Down
P08174	CD55	1.0604	0.0017	1.3221	0	Up/Up
P36873	PPP1CC	-0.5769	0.0017	-0.4735	0	Down/Down
Q9Y4C2	TCAF1	-0.8659	0.0017	-0.6054	0	Down/Down
Q14684	RRP1B	0.3828	0.0017	0.8959	0	Up/Up
Q9HAB8	PPCS	0.421	0.0017	-0.2957	0.0122	Down transcriptome/Up proteome
P56159	GFRA1	-1.3474	0.0017	-0.3586	0.0038	Down/Down
O14732	IMPA2	1.981	0.0017	0.4128	0	Up/Up
Q7Z4S6	KIF21A	-0.4949	0.0017	0.453	0	Up transcriptome/Down proteome
Q8TB36	GDAP1	0.3925	0.0017	0.4073	0.0028	Up/Up
Q96PM9	ZNF385A	0.7982	0.0017	0.4828	0	Up/Up
Q9H0C8	ILKAP	-0.4928	0.0018	0.5762	0.0028	Up transcriptome/Down proteome
Q9Y605	MRFAP1	-0.5232	0.0018	0.3266	0	Up transcriptome/Down proteome
Q9H4A4	RNPEP	0.333	0.0018	0.2263	1e-4	Up/Up
P35240	NF2	0.3059	0.0018	2.4261	0	Up/Up
Q9NYZ3	GTSE1	-1.9801	0.0018	-0.5447	0	Down/Down
Q9UNS1	TIMELESS	-0.592	0.0018	-0.5326	0	Down/Down
P54709	ATP1B3	0.2414	0.0018	1.1197	0	Up/Up
Q15223	NECTIN1	0.6951	0.0018	0.5161	0	Up/Up
O60888	CUTA	1.076	0.0018	-0.3441	0.032	Down transcriptome/Up proteome
P17936	IGFBP3	-0.6164	0.0018	-3.5039	0	Down/Down
Q14257	RCN2	-0.3501	0.0018	-0.2644	0.0013	Down/Down
O75487	GPC4	0.5098	0.0018	0.4744	0	Up/Up
Q96QD8	SLC38A2	-0.6205	0.0018	-0.6488	0	Down/Down
Q13011	ECH1	-0.2711	0.0018	-1.1312	0	Down/Down
Q969K7	TMEM54	0.789	0.0019	0.363	1e-4	Up/Up
P23443	RPS6KB1	2.1276	0.0019	-0.3154	0.006	Down transcriptome/Up proteome
Q9P2D1	CHD7	0.747	0.0019	0.8224	1e-4	Up/Up
O14966	RAB29	1.0021	0.0019	-0.4907	0	Down transcriptome/Up proteome
Q9H8Y8	GORASP2	0.3595	0.0019	0.417	0	Up/Up
Q8NF64	ZMIZ2	0.4877	0.0019	0.9437	0	Up/Up
P30740	SERPINB1	0.3662	0.0019	-0.4038	0.0249	Down transcriptome/Up proteome
A0FGR8	ESYT2	0.3737	0.0019	0.2549	0.0024	Up/Up
P32455	GBP1	-0.3382	0.0019	-0.4141	0	Down/Down
P15735	PHKG2	0.6463	0.0019	0.677	0	Up/Up
Q02252	ALDH6A1	0.4952	0.002	-0.581	0	Down transcriptome/Up proteome
Q9NYP3	DONSON	-1.6912	0.002	0.7782	0	Up transcriptome/Down proteome
O00273	DFFA	0.36	0.002	0.4898	0	Up/Up
O14561	NDUFAB1	0.5863	0.002	-0.2739	0.0479	Down transcriptome/Up proteome
Q92643	PIGK	0.538	0.002	-1.1037	0	Down transcriptome/Up proteome
O14939	PLD2	0.6754	0.002	-0.3123	0.0246	Down transcriptome/Up proteome
Q8NBI6	XXYLT1	-0.7631	0.002	-0.8224	0	Down/Down
Q9NR33	POLE4	-0.4042	0.002	0.5467	0.0127	Up transcriptome/Down proteome
Q6P1M0	SLC27A4	-0.3439	0.002	-0.1776	0.0318	Down/Down
Q9NXF1	TEX10	-0.4446	0.0021	-0.2027	0.0048	Down/Down
P55061	TMBIM6	-0.4384	0.0021	0.2659	0	Up transcriptome/Down proteome
Q15047	SETDB1	-0.6891	0.0021	-0.5198	0	Down/Down
P07738	BPGM	0.5427	0.0021	-0.6747	0	Down transcriptome/Up proteome
Q96K49	TMEM87B	0.6033	0.0021	0.4913	0	Up/Up
Q14790	CASP8	0.584	0.0021	-0.3108	0.0278	Down transcriptome/Up proteome
O43175	PHGDH	-0.2393	0.0022	-3.7902	0.0076	Down/Down
Q96LD4	TRIM47	-0.6829	0.0022	0.7554	0	Up transcriptome/Down proteome
Q13029	PRDM2	-1.2479	0.0022	-0.3191	0.041	Down/Down
Q96AC1	FERMT2	-0.358	0.0022	0.4854	0	Up transcriptome/Down proteome
A6NKD9	CCDC85C	1.1152	0.0022	0.9324	0	Up/Up
P45954	ACADSB	0.5481	0.0022	-0.4521	0.0189	Down transcriptome/Up proteome
P62312	LSM6	0.3284	0.0022	0.7842	0	Up/Up
Q9UPT9	USP22	-0.4857	0.0022	0.251	0.0137	Up transcriptome/Down proteome
P61204	ARF3	0.2199	0.0022	0.5802	0	Up/Up
Q14160	SCRIB	-0.322	0.0022	0.4856	0	Up transcriptome/Down proteome
Q86Y07	VRK2	-1.0615	0.0022	0.3404	0.0049	Up transcriptome/Down proteome
P41208	CETN2	-0.4886	0.0022	-0.2631	2e-4	Down/Down
Q13310	PABPC4	-0.3274	0.0023	0.3109	0.0148	Up transcriptome/Down proteome
Q9UGL1	KDM5B	-0.6397	0.0023	-0.6117	6e-4	Down/Down
Q9H6Z4	RANBP3	-0.4924	0.0023	0.3308	1e-4	Up transcriptome/Down proteome
Q92859	NEO1	-0.949	0.0023	-0.5047	0	Down/Down
Q9BY44	EIF2A	0.2388	0.0023	0.2688	0.001	Up/Up
P63261	ACTG1	0.7912	0.0023	0.3817	0	Up/Up
Q92828	CORO2A	-0.5177	0.0023	-0.7189	0	Down/Down
Q9Y6K1	DNMT3A	-0.6355	0.0023	-0.3299	0.0068	Down/Down
Q8N183	NDUFAF2	-0.5136	0.0024	-0.3603	0.0154	Down/Down
Q15438	CYTH1	0.5168	0.0024	0.7211	0	Up/Up
Q9Y2J8	PADI2	4.1845	0.0024	0.2583	0.0359	Up/Up
Q9NW64	RBM22	-0.8744	0.0024	-0.2317	9e-4	Down/Down
Q5THK1	PRR14L	-0.4428	0.0024	0.3232	0.0169	Up transcriptome/Down proteome
P57740	NUP107	-0.3836	0.0024	-0.5113	2e-4	Down/Down
O75340	PDCD6	0.3263	0.0024	0.2141	0.0273	Up/Up
Q8TE58	ADAMTS15	-1.2498	0.0024	-3.0744	0	Down/Down
P63104	YWHAZ	0.3933	0.0024	0.1672	0.026	Up/Up
P49458	SRP9	-0.2554	0.0024	-0.6334	0	Down/Down
Q9UJ70	NAGK	-0.2488	0.0025	0.4646	0.0068	Up transcriptome/Down proteome
Q03426	MVK	-0.8513	0.0025	-0.9937	0	Down/Down
Q9BXP5	SRRT	-0.2288	0.0025	0.3588	0.0136	Up transcriptome/Down proteome
Q9H8W5	TRIM45	-0.9316	0.0025	-1.422	0	Down/Down
Q96AE7	TTC17	-0.2983	0.0025	-0.192	0.0152	Down/Down
Q9NW97	TMEM51	-0.7713	0.0025	0.3392	1e-4	Up transcriptome/Down proteome
P84157	MXRA7	-1.4106	0.0026	-0.6879	0	Down/Down
O43670	ZNF207	-0.4072	0.0026	0.3078	0	Up transcriptome/Down proteome
P47895	ALDH1A3	-3.7435	0.0026	2.2274	0	Up transcriptome/Down proteome
P52789	HK2	0.3847	0.0026	0.6122	0	Up/Up
Q5QP82	DCAF10	0.6223	0.0026	0.3993	0.0065	Up/Up
Q8IZ69	TRMT2A	0.6329	0.0026	0.877	0	Up/Up
P62280	RPS11	-0.2223	0.0026	-0.1701	0.0454	Down/Down
P43487	RANBP1	-0.4077	0.0026	0.6168	0	Up transcriptome/Down proteome
O95990	FAM107A	-1.0641	0.0026	-0.3175	0	Down/Down
Q9UQ16	DNM3	1.6507	0.0026	1.3485	0	Up/Up
Q13952	NFYC	-0.5764	0.0026	0.2595	0	Up transcriptome/Down proteome
P52298	NCBP2	-0.5606	0.0026	0.3585	1e-4	Up transcriptome/Down proteome
Q9UKB1	FBXW11	-0.9753	0.0027	-0.5075	0	Down/Down
P60981	DSTN	-0.3594	0.0027	-0.6974	0	Down/Down
O95049	TJP3	0.9019	0.0027	-1.0725	0	Down transcriptome/Up proteome
O94905	ERLIN2	-0.3231	0.0027	-0.591	0	Down/Down
O00560	SDCBP	0.5323	0.0027	0.2685	0.0026	Up/Up
Q8IZA0	KIAA0319L	0.6724	0.0028	-0.4015	0.0023	Down transcriptome/Up proteome
Q96R05	RBP7	-0.4546	0.0028	-1.3147	0	Down/Down
P62873	GNB1	0.3731	0.0028	0.1645	0.0351	Up/Up
Q6DKJ4	NXN	-0.2531	0.0028	0.2264	3e-4	Up transcriptome/Down proteome
Q01130	SRSF2	-0.4022	0.0028	0.7777	0	Up transcriptome/Down proteome
Q12789	GTF3C1	0.4347	0.0028	0.5914	0	Up/Up
Q9Y625	GPC6	-0.6853	0.0028	-0.3304	0.0147	Down/Down
Q13506	NAB1	-0.5379	0.0028	-0.2799	0.0022	Down/Down
Q8IW41	MAPKAPK5	-0.6695	0.0028	-0.3298	1e-4	Down/Down
Q9NZ63	C9orf78	-0.4007	0.0028	-0.6961	0	Down/Down
Q01814	ATP2B2	-1.4677	0.0028	-1.5411	0	Down/Down
P62258	YWHAE	-0.3298	0.0028	-0.488	0	Down/Down
Q96IW7	SEC22A	0.757	0.0028	0.3461	0.0126	Up/Up
Q9ULL1	PLEKHG1	-2.2718	0.0029	-1.5403	0	Down/Down
P61964	WDR5	-0.3607	0.0029	0.3701	0	Up transcriptome/Down proteome
Q99598	TSNAX	0.6318	0.0029	-0.3123	0.021	Down transcriptome/Up proteome
Q96CW5	TUBGCP3	0.7665	0.003	0.5878	2e-4	Up/Up
O95163	ELP1	-0.3441	0.003	-0.8282	2e-4	Down/Down
P53355	DAPK1	-1.4421	0.003	-1.1412	0	Down/Down
Q07812	BAX	1.0168	0.003	0.3431	0.0043	Up/Up
P54920	NAPA	0.3071	0.003	0.5771	0	Up/Up
O60749	SNX2	-0.1903	0.003	-1.186	0	Down/Down
P00367	GLUD1	0.2725	0.003	0.4624	0	Up/Up
Q01469	FABP5	0.3805	0.003	0.9376	0	Up/Up
P56270	MAZ	-0.7536	0.003	0.3684	0	Up transcriptome/Down proteome
O75821	EIF3G	-0.1922	0.0031	0.4868	0	Up transcriptome/Down proteome
Q9UFC0	LRWD1	-0.5436	0.0031	0.3531	0.0364	Up transcriptome/Down proteome
Q13206	DDX10	0.8313	0.0031	0.567	1e-4	Up/Up
Q9BV20	MRI1	0.6921	0.0032	0.8287	0	Up/Up
P78362	SRPK2	-0.9762	0.0032	-0.9223	0	Down/Down
Q9Y2U8	LEMD3	-0.4097	0.0032	-0.4507	0	Down/Down
P30626	SRI	-0.3493	0.0032	-0.9723	0	Down/Down
P62266	RPS23	-0.4505	0.0032	-0.2809	0.0019	Down/Down
Q9BSH5	HDHD3	0.7623	0.0032	-0.64	0	Down transcriptome/Up proteome
Q8TC07	TBC1D15	-0.5894	0.0032	-0.5923	0	Down/Down
Q562R1	ACTBL2	0.6564	0.0032	0.6682	0.0039	Up/Up
Q8TEA7	TBCK	-1.1013	0.0032	-0.3532	0.0191	Down/Down
Q12962	TAF10	0.7646	0.0032	0.288	3e-4	Up/Up
Q6PIU2	NCEH1	0.7315	0.0033	0.9236	0	Up/Up
Q96FZ7	CHMP6	0.556	0.0033	0.848	0	Up/Up
P20290	BTF3	-0.4865	0.0033	-0.748	0	Down/Down
Q96EI5	TCEAL4	0.4007	0.0033	-0.4854	1e-4	Down transcriptome/Up proteome
Q10471	GALNT2	-0.3306	0.0033	0.3132	0	Up transcriptome/Down proteome
Q9UBW7	ZMYM2	-0.5067	0.0033	-0.5216	1e-4	Down/Down
O15360	FANCA	-0.8929	0.0033	1.1017	0	Up transcriptome/Down proteome
P28074	PSMB5	-0.2424	0.0033	0.1834	0.0369	Up transcriptome/Down proteome
P09884	POLA1	-0.7681	0.0033	0.832	0	Up transcriptome/Down proteome
P46781	RPS9	-0.2172	0.0033	-0.2672	0.0234	Down/Down
Q99729	HNRNPAB	-0.54990000000000006	0.0034	0.2615	0.0024	Up transcriptome/Down proteome
Q8N8A6	DDX51	-1.254	0.0034	-0.2978	0.0173	Down/Down
Q9UJJ9	GNPTG	0.8397	0.0034	0.285	0.0291	Up/Up
O75347	TBCA	-0.3126	0.0034	-0.9541	0	Down/Down
O43293	DAPK3	-0.3885	0.0034	1.0229	0	Up transcriptome/Down proteome
Q9H1I8	ASCC2	-0.3513	0.0034	0.8166	0	Up transcriptome/Down proteome
Q6NYC8	PPP1R18	0.3362	0.0034	1.2926	0	Up/Up
P35237	SERPINB6	-0.3258	0.0034	-0.9364	0	Down/Down
Q8WWI1	LMO7	-0.4927	0.0034	-1.0746	0	Down/Down
Q9UNN8	PROCR	0.7281	0.0034	-0.5882	2e-4	Down transcriptome/Up proteome
Q24JP5	TMEM132A	-0.6472	0.0035	-0.5407	0	Down/Down
O95785	WIZ	-0.5441	0.0035	0.7707	0	Up transcriptome/Down proteome
P40424	PBX1	-0.9569	0.0035	-2.0611	0	Down/Down
O95985	TOP3B	-0.804	0.0036	0.3541	4e-4	Up transcriptome/Down proteome
Q9H694	BICC1	1.3571	0.0036	0.9977	0	Up/Up
Q96S82	UBL7	-0.3618	0.0036	0.1767	0.038	Up transcriptome/Down proteome
Q9NQ66	PLCB1	-2.0161	0.0036	-3.2254	0	Down/Down
P48729	CSNK1A1	-0.2381	0.0036	-0.4111	6e-4	Down/Down
Q9P2G3	KLHL14	-0.4889	0.0037	-2.3009	0	Down/Down
Q9UKY7	CDV3	0.2595	0.0037	0.7617	0	Up/Up
O75155	CAND2	-0.9453	0.0037	-0.968	0	Down/Down
O00425	IGF2BP3	0.3263	0.0037	0.5512	0	Up/Up
Q15170	TCEAL1	-1.9107	0.0038	-0.3692	0.0182	Down/Down
O75380	NDUFS6	-0.8654	0.0038	-0.2079	0.0295	Down/Down
P09651	HNRNPA1	-0.2573	0.0038	-0.234	1e-4	Down/Down
Q92621	NUP205	-0.2781	0.0038	0.5537	0	Up transcriptome/Down proteome
P36957	DLST	0.2371	0.0038	0.4634	0	Up/Up
